(0.760886,  0.258283,  -0.574783),  (0.610134,  0.676486)
(0.760886,  0.257295,  -0.575035),  (0.610294,  0.675170)
(0.253499,  0.185248,  -0.574783),  (0.881029,  0.609046)
(0.253499,  0.186237,  -0.575035),  (0.880868,  0.610362)
(0.251737,  0.187498,  -0.575035),  (0.881802,  0.611525)
(0.250357,  0.187498,  -0.574783),  (0.882857,  0.611365)
(0.250357,  0.186237,  -0.574462),  (0.967886,  0.286224)
(0.251737,  0.185248,  -0.574462),  (0.967845,  0.286665)
(0.250357,  0.256034,  -0.574783),  (0.883677,  0.674220)
(0.251737,  0.256034,  -0.575035),  (0.882231,  0.674177)
(0.253499,  0.257295,  -0.575035),  (0.880703,  0.676340)
(0.253499,  0.258283,  -0.574783),  (0.881309,  0.679278)
(0.251737,  0.258283,  -0.574462),  (0.967858,  0.257388)
(0.250357,  0.257295,  -0.574462),  (0.967870,  0.257836)
(0.250515,  0.186462,  0.421804),  (0.280750,  0.286110)
(0.252051,  0.186462,  0.422084),  (0.301724,  0.607314)
(0.252051,  0.185362,  0.421804),  (0.280786,  0.286578)
(0.252051,  0.258170,  0.421804),  (0.280764,  0.257415)
(0.252051,  0.257070,  0.422084),  (0.302198,  0.677840)
(0.250515,  0.257070,  0.421804),  (0.280750,  0.257849)
(0.762334,  0.185362,  0.421804),  (0.280776,  0.491467)
(0.762334,  0.186462,  0.422084),  (0.596631,  0.608211)
(0.763870,  0.186462,  0.421804),  (0.280750,  0.023794)
(0.763870,  0.257070,  0.421804),  (0.280750,  0.052058)
(0.762334,  0.257070,  0.422084),  (0.597104,  0.678717)
(0.762334,  0.258170,  0.421804),  (0.280786,  0.052523)
(0.762334,  0.185362,  -0.574726),  (0.968023,  0.491467)
(0.763870,  0.186462,  -0.574726),  (0.968065,  0.023766)
(0.762334,  0.186462,  -0.575006),  (0.609098,  0.609770)
(0.762334,  0.257070,  -0.575006),  (0.609537,  0.674944)
(-0.822707,  -0.587648,  -0.456898),  (0.194377,  0.099354)
(-0.824262,  -0.587648,  -0.456646),  (0.193623,  0.099384)
(-0.824262,  -0.587648,  -0.429164),  (0.131267,  0.099280)
(-0.822707,  -0.587648,  -0.428912),  (0.130530,  0.099221)
