(68, 112, 35)
(73, 111, 32)
(32, 113, 73)
(115, 72, 86)
(72, 115, 119)
(71, 96, 57)
(57, 96, 14)
(70, 13, 69)
(69, 13, 131)
(108, 78, 43)
(43, 78, 94)
(36, 43, 87)
(43, 36, 108)
(23, 69, 88)
(69, 23, 70)
(38, 90, 2)
(90, 38, 89)
(60, 61, 97)
(97, 98, 60)
(88, 69, 46)
(46, 69, 120)
(87, 43, 92)
(92, 43, 109)
(43, 99, 109)
(99, 43, 94)
(69, 7, 120)
(7, 69, 131)
(101, 6, 100)
(6, 101, 62)
(34, 101, 102)
(102, 101, 100)
(37, 24, 63)
(24, 37, 0)
(83, 82, 42)
(42, 82, 3)
(121, 90, 89)
(90, 121, 47)
(103, 105, 111)
(111, 73, 103)
(42, 3, 85)
(85, 3, 84)
(65, 64, 71)
(71, 64, 96)
(66, 24, 0)
(24, 66, 67)
(4, 115, 79)
(79, 115, 86)
(98, 32, 60)
(60, 32, 111)
(82, 65, 3)
(3, 65, 71)
(0, 37, 102)
(102, 100, 0)
(38, 86, 89)
(86, 38, 79)
(121, 89, 86)
(86, 72, 121)
(0, 6, 66)
(6, 0, 100)
(3, 71, 84)
(84, 71, 57)
(60, 111, 104)
(104, 111, 105)
(104, 95, 61)
(61, 60, 104)
(493, 148, 1116)
(1116, 199, 493)
(140, 970, 148)
(148, 493, 140)
(1408, 802, 970)
(970, 140, 1408)
(518, 1408, 989)
(1408, 518, 802)
(897, 518, 989)
(518, 897, 1366)
(879, 969, 1043)
(969, 879, 588)
(740, 1253, 1161)
(1253, 1248, 1161)
(1222, 168, 1347)
(1347, 595, 1222)
(468, 1347, 168)
(1347, 468, 874)
(1161, 418, 635)
(418, 1161, 1248)
(898, 928, 79)
(79, 928, 11)
(1043, 585, 264)
(264, 585, 1449)
(1099, 555, 1378)
(555, 1099, 740)
(1253, 1287, 684)
(1253, 684, 1248)
(879, 264, 1204)
(264, 879, 1043)
(555, 1161, 635)
(1161, 555, 740)
(1378, 79, 1099)
(79, 11, 1099)
(1204, 264, 1222)
(1222, 264, 168)
(168, 264, 468)
(264, 1449, 468)
(468, 1449, 3)
(3, 874, 468)
(1179, 418, 684)
(418, 1248, 684)
(1449, 585, 3)
(585, 1180, 3)
(1099, 11, 1253)
(1253, 740, 1099)
(1179, 684, 878)
(878, 684, 1287)
(1204, 1222, 743)
(1222, 595, 743)
(898, 878, 928)
(878, 1287, 928)
(585, 1043, 969)
(969, 1180, 585)
(879, 1204, 743)
(743, 588, 879)
(928, 1253, 11)
(1253, 928, 1287)
(943, 421, 811)
(811, 421, 923)
(421, 514, 456)
(514, 421, 943)
(456, 514, 715)
(715, 514, 259)
(959, 662, 1012)
(662, 959, 998)
(811, 867, 1498)
(867, 811, 923)
(1012, 662, 867)
(867, 662, 1498)
(1542, 1545, 687)
(687, 1545, 0)
(1545, 1542, 260)
(1542, 211, 260)
(260, 211, 1420)
(1420, 211, 302)
(135, 122, 86)
(122, 135, 531)
(687, 968, 438)
(968, 687, 0)
(86, 438, 968)
(438, 86, 122)
(836, 703, 569)
(703, 836, 1136)
(1141, 1136, 836)
(1136, 1141, 1051)
(485, 703, 1136)
(485, 1268, 703)
(485, 1051, 450)
(1051, 485, 1136)
(2, 1033, 1155)
(1155, 1033, 226)
(987, 685, 812)
(685, 987, 322)
(325, 1181, 609)
(1181, 1182, 609)
(325, 198, 1181)
(198, 325, 952)
(609, 1182, 868)
(868, 1162, 609)
(196, 1494, 1162)
(196, 1162, 868)
(24, 1367, 419)
(1367, 24, 1543)
(1183, 686, 210)
(686, 1183, 988)
(1184, 210, 1370)
(210, 1184, 1183)
(469, 813, 988)
(469, 988, 1183)
(813, 469, 953)
(813, 953, 1423)
(953, 80, 1423)
(80, 953, 1185)
(1185, 1338, 80)
(1338, 1185, 371)
(613, 1275, 1490)
(1275, 613, 324)
(686, 1275, 210)
(1275, 686, 1490)
(613, 1513, 324)
(1513, 613, 165)
(50, 1490, 538)
(1490, 50, 613)
(538, 1490, 1514)
(1490, 686, 1514)
(849, 165, 50)
(50, 165, 613)
(379, 227, 977)
(227, 379, 1193)
(977, 1194, 1186)
(1194, 977, 227)
(1499, 1374, 379)
(379, 1374, 1193)
(850, 1187, 80)
(80, 1338, 850)
(1187, 108, 1423)
(1423, 80, 1187)
(1423, 1544, 813)
(1544, 1423, 108)
(1453, 813, 1544)
(813, 1453, 988)
(1514, 988, 1453)
(988, 1514, 686)
(405, 787, 60)
(60, 787, 695)
(60, 978, 726)
(978, 60, 695)
(814, 1356, 405)
(405, 1356, 787)
(1069, 467, 402)
(1069, 402, 234)
(127, 1357, 467)
(1357, 402, 467)
(1357, 127, 116)
(116, 127, 748)
(705, 116, 748)
(116, 705, 586)
(1186, 586, 705)
(586, 1186, 1194)
(941, 173, 556)
(173, 941, 1339)
(128, 1405, 921)
(1405, 1055, 921)
(601, 815, 83)
(815, 601, 508)
(523, 554, 1205)
(773, 1205, 554)
(1205, 773, 1042)
(1042, 127, 1205)
(127, 1042, 748)
(748, 1042, 768)
(768, 663, 748)
